HINT	ANSWER	ISNAME	TYPEIN
Вопрос	Ареал распространения		
Нивхский язык	Сахалин	N	r:^(САХАЛИН)+$
Айнский язык	Хоккайдо (север Японии)	N	r:^(ХОК+АЙДО|СЕВЕРЯПОНИИ)+$
Бурушаски	Кашмир (северо-восток Пакистана)	N	r:^(КАШМИР|((СЕВЕРО)?ВОСТОК|СЕВЕР)ПАКИСТАНА)+$
Баскский язык	Страна Басков (север Испании, юго-запад Франции)	N	r:^(СТРАНАБАСКОВ|СЕВЕРИСПАНИИ|((ЮГО)?ЗАПАД|ЮГ)ФРАНЦИИ)+$
Гегский диалект	Косово (юго-запад Сербии), север Албании	N	r:^(КОСОВО|((ЮГО)?ЗАПАД|ЮГ)СЕРБИИ|СЕВЕРАЛБАНИИ)+$
Тоскский диалект	юг Албании	N	r:^(ЮГАЛБАНИИ)+$
Осетинский язык	{Северная Осетия}, {Южная Осетия}	N	r:^((СЕВЕРНАЯОСЕТИЯ)+(ЮЖНАЯОСЕТИЯ)+|(ЮЖНАЯОСЕТИЯ)+(СЕВЕРНАЯОСЕТИЯ)+)+$
Персидский язык (фарси)	Иран	N	r:^(ИРАН)+$
Таджикский язык	Таджикистан	N	r:^(ТАДЖИКИСТАН)+$
Татский язык	северо-восток Азербайджана	N	r:^(((СЕВЕРО)?ВОСТОК|СЕВЕР)АЗЕРБАЙДЖАНА)+$
Хинди и урду	{Индия}, {Пакистан}	N	r:^((ИНДИЯ)+(ПАКИСТАН)+|(ПАКИСТАН)+(ИНДИЯ)+)+$
Армянский язык	{Армения, юг Грузии}, {Абхазия}	N	r:^((АРМЕНИЯ|ЮГГРУЗИИ)+(АБХАЗИЯ)+|(АБХАЗИЯ)+(АРМЕНИЯ|ЮГГРУЗИИ)+)+$
Греческий язык	{Греция}, {Кипр}	N	r:^((ГРЕЦИЯ)+(КИПР)+|(КИПР)+(ГРЕЦИЯ)+)+$
Русский язык	Россия, Беларусь 	N	r:^(РОС+ИЯ|БЕЛАРУСЬ|БЕЛОРУС+ИЯ)+$
Белорусский язык	Беларусь 	N	r:^(БЕЛАРУСЬ|БЕЛОРУС+ИЯ)+$
Украинский язык	Украина	N	r:^(УКРАИНА)+$
Польский язык	Польша	N	r:^(ПОЛЬША)+$
Кашубский язык	Поморское воеводство (север Польши)	N	r:^(ПОМОРСКОЕВОЕВОДСТВО|СЕВЕРПОЛЬШИ)+$
Верхнелужицкий язык	Саксония (восток Германии)	N	r:^(САКСОНИЯ|ВОСТОКГЕРМАНИИ)+$
Нижнелужицкий язык	Саксония (восток Германии)	N	r:^(САКСОНИЯ|ВОСТОКГЕРМАНИИ)+$
Чешский язык	Чехия	N	r:^(ЧЕХИЯ)+$
Словацкий язык	Словакия	N	r:^(СЛОВАКИЯ)+$
Болгарский язык	Болгария	N	r:^(БОЛГАРИЯ)+$
Македонский язык	Северная Македония	N	r:^(СЕВЕРНАЯМАКЕДОНИЯ)+$
Хорватский язык	Хорватия	N	r:^(ХОРВАТИЯ)+$
Боснийский язык	Босния и Герцеговина	N	r:^(БОСНИЯ|ГЕРЦЕГОВИНА)+$
Словенский язык	Словения	N	r:^(СЛОВЕНИЯ)+$
Сербский язык	Сербия	N	r:^(СЕРБИЯ)+$
Литовский язык	Литва	N	r:^(ЛИТВА)+$
Латышский язык	Латвия	N	r:^(ЛАТВИЯ)+$
Латгальский язык	Латгалия (восток Латвии)	N	r:^(ЛАТГАЛИЯ|ВОСТОКЛАТВИИ)+$
Английский язык	Великобритания, Ирландия, Индия и др.	N	r:^(ВЕЛИКОБРИТАНИЯ|ИРЛАНДИЯ|ИНДИЯ)+$
Немецкий язык	{Германия}, {Швейцария}, {Австрия}	N	r:^((ГЕРМАНИЯ)+(ШВЕЙЦАРИЯ)+(АВСТРИЯ)+|(ГЕРМАНИЯ)+(АВСТРИЯ)+(ШВЕЙЦАРИЯ)+|(ШВЕЙЦАРИЯ)+(ГЕРМАНИЯ)+(АВСТРИЯ)+|(ШВЕЙЦАРИЯ)+(АВСТРИЯ)+(ГЕРМАНИЯ)+|(АВСТРИЯ)+(ГЕРМАНИЯ)+(ШВЕЙЦАРИЯ)+|(АВСТРИЯ)+(ШВЕЙЦАРИЯ)+(ГЕРМАНИЯ)+)+$
Голландский (нидерландский) язык	{Нидерланды}, {Бельгия}	N	r:^((НИДЕРЛАНДЫ|ГОЛ+АНДИЯ)+(БЕЛЬГИЯ)+|(БЕЛЬГИЯ)+(НИДЕРЛАНДЫ|ГОЛ+АНДИЯ)+)+$
Африкаанс	ЮАР 	N	r:^(ЮАР|ЮЖНОАФРИКАНСКАЯ(РЕСПУБЛИКА)?)+$
Фризские языки	север Нидерландов, северо-запад Германии	N	r:^(СЕВЕРНИДЕРЛАНДОВ|СЕВЕРГОЛ+АНДИИ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ГЕРМАНИИ)+$
Исландский язык	Исландия	N	r:^(ИСЛАНДИЯ)+$
Норвежский язык	Норвегия	N	r:^(НОРВЕГИЯ)+$
Шведский язык	Швеция, юго-восток Финляндии	N	r:^(ШВЕЦИЯ|((ЮГО)?ВОСТОК|ЮГ)ФИНЛЯНДИИ)+$
Датский язык	Дания	N	r:^(ДАНИЯ)+$
Фарерский язык	Фарерские острова (север Дании)	N	r:^(ФАРЕР(СКИЕ(ОСТРОВ)?А|Ы)|СЕВЕРДАНИИ)+$
Французский язык	Франция, Швейцария, Бельгия и др.	N	r:^(ФРАНЦИЯ|ШВЕЙЦАРИЯ|ЗАПАДШВЕЙЦАРИИ|БЕЛЬГИЯ|ЮГБЕЛЬГИИ)+$
Итальянский язык	Италия, Ватикан, Сан-Марино	N	r:^(ИТАЛИЯ|ВАТИКАН|САНМАРИНО)+$
Португальский язык	Португалия и др.	N	r:^(ПОРТУГАЛИЯ)+$
Испанский язык	Испания и др.	N	r:^(ИСПАНИЯ)+$
Каталанский язык	{Каталония, Валенсия, Балеарские острова (восток Испании)}, {Андорра}	N	r:^((КАТАЛОНИЯ|ВАЛЕНСИЯ|БАЛЕАР(СКИЕ(ОСТРОВ)?А|Ы)|ВОСТОКИСПАНИИ)+(АНДОР+А)+|(АНДОР+А)+(КАТАЛОНИЯ|ВАЛЕНСИЯ|БАЛЕАР(СКИЕ(ОСТРОВ)?А|Ы)|ВОСТОКИСПАНИИ)+)+$
Окситанский (провансальский) язык	Окситания (юг Франции)	N	r:^(ОКСИТАНИЯ|ЮГФРАНЦИИ)+$
Галисийский язык	Галисия (северо-запад Испании)	N	r:^(ГАЛИСИЯ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ИСПАНИИ)+$
Сардинский язык	остров Сардиния (запад Италии)	N	r:^((ОСТРОВ)?САРДИНИЯ|ЗАПАДИТАЛИИ)+$
Румынский язык	{Румыния}, {Молдавия }	N	r:^((РУМЫНИЯ)+(МОЛДАВИЯ|МОЛДОВА)+|(МОЛДАВИЯ|МОЛДОВА)+(РУМЫНИЯ)+)+$
Ретороманские языки	Швейцария, северо-восток Италии	N	r:^(ШВЕЙЦАРИЯ|((СЕВЕРО)?ВОСТОК|СЕВЕР)ИТАЛИИ)+$
Ирландский язык	Ирландия, Северная Ирландия (северо-запад Великобритании)	N	r:^(ИРЛАНДИЯ|СЕВЕРНАЯИРЛАНДИЯ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ВЕЛИКОБРИТАНИИ)+$
Шотландский язык	Шотландия (север Великобритании)	N	r:^(ШОТЛАНДИЯ|СЕВЕРВЕЛИКОБРИТАНИИ)+$
Валлийский язык	Уэльс (юго-запад Великобритании)	N	r:^(УЭЛЬС|((ЮГО)?ЗАПАД|ЮГ)ВЕЛИКОБРИТАНИИ)+$
Мэнский язык	остров Мэн (запад Великобритании)	N	r:^((ОСТРОВ)?МЭН|ЗАПАДВЕЛИКОБРИТАНИИ)+$
Бретонский язык	Бретань (северо-запад Франции)	N	r:^(БРЕТАНЬ|((СЕВЕРО)?ЗАПАД|СЕВЕР)ФРАНЦИИ)+$
Корнский язык	Корнуолл (юго-запад Великобритании)	N	r:^(КОРНУОЛ+|((ЮГО)?ЗАПАД|ЮГ)ВЕЛИКОБРИТАНИИ)+$
Лезгинский язык	юг Дагестана, север Азербайджана	N	r:^(ЮГДАГЕСТАНА|СЕВЕРАЗЕРБАЙДЖАНА)+$
Агульский язык	юг Дагестана	N	r:^(ЮГДАГЕСТАНА)+$
Табасаранский язык	юг Дагестана	N	r:^(ЮГДАГЕСТАНА)+$
Арчинский язык	юг Дагестана	N	r:^(ЮГДАГЕСТАНА)+$
Рутульский язык	юг Дагестана, север Азербайджана	N	r:^(ЮГДАГЕСТАНА|СЕВЕРАЗЕРБАЙДЖАНА)+$
Цахурский язык	юг Дагестана, север Азербайджана	N	r:^(ЮГДАГЕСТАНА|СЕВЕРАЗЕРБАЙДЖАНА)+$
Удинский язык	восток Грузии, север Азербайджана, юг Дагестана	N	r:^(ВОСТОКГРУЗИИ|СЕВЕРАЗЕРБАЙДЖАНА|ЮГДАГЕСТАНА)+$
Будухский язык	север Азербайджана	N	r:^(СЕВЕРАЗЕРБАЙДЖАНА)+$
Крызский язык	север Азербайджана	N	r:^(СЕВЕРАЗЕРБАЙДЖАНА)+$
Ингушский язык	Ингушетия	N	r:^(ИНГУШЕТИЯ)+$
Чеченский язык	Чечня, запад Дагестана	N	r:^(ЧЕЧНЯ|ЗАПАДДАГЕСТАНА)+$
Бацбийский язык	Кахетия (восток Грузии)	N	r:^(КАХЕТИЯ|ВОСТОКГРУЗИИ)+$
Акушинский язык	центральный Дагестан	N	r:^(ЦЕНТРАЛЬНЫЙДАГЕСТАН)+$
Кубачинский язык	центральный Дагестан	N	r:^(ЦЕНТРАЛЬНЫЙДАГЕСТАН)+$
Кайтагский язык	центральный Дагестан	N	r:^(ЦЕНТРАЛЬНЫЙДАГЕСТАН)+$
Аварский язык	центральный Дагестан	N	r:^(ЦЕНТРАЛЬНЫЙДАГЕСТАН)+$
Цезская ветвь	юг Дагестана	N	r:^(ЮГДАГЕСТАНА)+$
Хиналугский язык	север Азербайджана	N	r:^(СЕВЕРАЗЕРБАЙДЖАНА)+$
Лакский язык	юг Дагестана	N	r:^(ЮГДАГЕСТАНА)+$
Финский язык	Финляндия, Карелия, Ленинградская область	N	r:^(ФИНЛЯНДИЯ|КАРЕЛИЯ|ЛЕНИНГРАДСКАЯОБЛАСТЬ)+$
Вепсский язык	Карелия, Ленинградская область	N	r:^(КАРЕЛИЯ|ЛЕНИНГРАДСКАЯОБЛАСТЬ)+$
Ижорский язык	Ленинградская область	N	r:^(ЛЕНИНГРАДСКАЯОБЛАСТЬ)+$
Водский язык	Ленинградская область	N	r:^(ЛЕНИНГРАДСКАЯОБЛАСТЬ)+$
Эстонские языки	Эстония	N	r:^(ЭСТОНИЯ)+$
Карельские языки	Карелия, Тверская область	N	r:^(КАРЕЛИЯ|ТВЕРСКАЯОБЛАСТЬ)+$
Мокшанский язык	Мордовия	N	r:^(МОРДОВИЯ)+$
Эрзянский язык	Мордовия	N	r:^(МОРДОВИЯ)+$
Луговомарийский (лугововосточный марийский) язык	Марий Эл	N	r:^(МАРИЙЭЛ)+$
Горномарийский язык	Марий Эл	N	r:^(МАРИЙЭЛ)+$
Удмуртский язык	Удмуртия	N	r:^(УДМУРТИЯ)+$
Коми-зырянский язык	Республика Коми	N	r:^((РЕСПУБЛИКА)?КОМИ)+$
Коми-пермяцкий язык	Пермский край	N	r:^(ПЕРМСКИЙКРАЙ)+$
Венгерский язык	Венгрия	N	r:^(ВЕНГРИЯ)+$
Хантыйские языки	ХМАО, ЯНАО 	N	r:^(ХМАО|ХАНТЫМАНСИЙСКИЙАВТОНОМНЫЙОКРУГ|ЗАПАДХМАО|ХАНТЫМАНСИЙСКОГОАВТОНОМНОГООКРУГА|ЯНАО|ЯМАЛОНЕНЕЦКИЙАВТОНОМНЫЙОКРУГ)+$
Мансийские языки	ХМАО 	N	r:^(ХМАО|ХАНТЫМАНСИЙСКИЙАВТОНОМНЫЙОКРУГ|ВОСТОКХМАО|ХАНТЫМАНСИЙСКОГОАВТОНОМНОГООКРУГА)+$
Кильдинский саамский язык	Мурманская область	N	r:^(МУРМАНСКАЯОБЛАСТЬ)+$
Тундровый ненецкий язык	ЯНАО, НАО 	N	r:^(ЯНАО|ЯМАЛОНЕНЕЦКИЙАВТОНОМНЫЙОКРУГ|НАО|НЕНЕЦКИЙАВТОНОМНЫЙОКРУГ)+$
Лесной ненецкий язык	ЯНАО, ХМАО 	N	r:^(ЯНАО|ЯМАЛОНЕНЕЦКИЙАВТОНОМНЫЙОКРУГ|ХМАО|ХАНТЫМАНСИЙСКИЙАВТОНОМНЫЙОКРУГ)+$
Энецкий язык	север Красноярского края	N	r:^(СЕВЕРКРАСНОЯРСКОГОКРАЯ)+$
Нганасанский язык	север Красноярского края	N	r:^(СЕВЕРКРАСНОЯРСКОГОКРАЯ)+$
Селькупские языки	Томская область, ЯНАО 	N	r:^(ТОМСКАЯОБЛАСТЬ|ЯНАО|ЯМАЛОНЕНЕЦКИЙАВТОНОМНЫЙОКРУГ)+$
Чувашский язык	Чувашия	N	r:^(ЧУВАШИЯ)+$
Якутский язык	Якутия	N	r:^(ЯКУТИЯ)+$
Тувинский язык	Тыва	N	r:^(ТЫВА)+$
Хакасский язык	Хакассия	N	r:^(ХАКАС+ИЯ)+$
Башкирский язык	Республика Башкортостан, Челябинская область	N	r:^((РЕСПУБЛИКА)?БАШКОРТОСТАН|ЧЕЛЯБИНСКАЯОБЛАСТЬ)+$
Кумыкский язык	север Дагестана	N	r:^(СЕВЕРДАГЕСТАНА)+$
Татарский язык	Республика Татарстан, республика Башкортостан	N	r:^((РЕСПУБЛИКА)?ТАТАРСТАН|(РЕСПУБЛИКА)?БАШКОРТОСТАН)+$
Ногайский язык	север Дагестана, Ставропольский Край, Карачаево-Черкесия	N	r:^(СЕВЕРДАГЕСТАНА|СТАВРОПОЛЬСКИЙКРАЙ|КАРАЧАЕВОЧЕРКЕСИЯ)+$
Карачаево-балкарский язык	Карачаево-Черкесия, Кабардино-Балкария	N	r:^(КАРАЧАЕВОЧЕРКЕСИЯ|КАБАРДИНОБАЛКАРИЯ)+$
Караимский язык	{Республика Крым}, {юго-восток Литвы}	N	r:^(((РЕСПУБЛИКА)?КРЫМ)+(((ЮГО)?ВОСТОК|ЮГ)ЛИТВЫ)+|(((ЮГО)?ВОСТОК|ЮГ)ЛИТВЫ)+((РЕСПУБЛИКА)?КРЫМ)+)+$
Крымско-татарский язык	Республика Крым	N	r:^((РЕСПУБЛИКА)?КРЫМ)+$
Каракалпакский язык	Каракалпакстан (северо-запад Узбекистана)	N	r:^(КАРАКАЛПАКСТАН|((СЕВЕРО)?ЗАПАД|СЕВЕР)УЗБЕКИСТАНА)+$
Азербайджанский язык	Азербайджан, юг Грузии, юг Дагестана	N	r:^(АЗЕРБАЙДЖАН|ЮГГРУЗИИ|ЮГДАГЕСТАНА)+$
Гагаузский язык	Молдавия, юго-восток Украины	N	r:^(МОЛДАВИЯ|МОЛДОВА|((ЮГО)?ВОСТОК|ЮГ)УКРАИНЫ)+$
Казахский язык	Казахстан, Астраханская область	N	r:^(КАЗАХСТАН|АСТРАХАНСКАЯОБЛАСТЬ)+$
Турецкий язык	Турция	N	r:^(ТУРЦИЯ)+$
Киргизский язык	Киргизия 	N	r:^(КИРГИЗИЯ|КЫРГЫЗСТАН)+$
Узбекский язык	Узбекистан, север Пакистана	N	r:^(УЗБЕКИСТАН|ЮГУЗБЕКИСТАНА|СЕВЕРПАКИСТАНА)+$
Туркменский язык	Туркменистан	N	r:^(ТУРКМЕНИСТАН)+$
Уйгурский язык	Синьцзян (северо-запад Китая)	N	r:^(СИНЬЦЗЯН|((СЕВЕРО)?ЗАПАД|СЕВЕР)КИТАЯ)+$
Монгольский язык	Монголия, север Китая	N	r:^(МОНГОЛИЯ|СЕВЕРКИТАЯ)+$
Бурятский язык	Бурятия, Иркутская область, Забайкальский край	N	r:^(БУРЯТИЯ|ИРКУТСКАЯОБЛАСТЬ|ЗАБАЙКАЛЬСКИЙКРАЙ)+$
Калмыцкий язык	Калмыкия	N	r:^(КАЛМЫКИЯ)+$
Эвенкийский язык	Якутия, Хабаровский край, Красноярский край	N	r:^(ЯКУТИЯ|ХАБАРОВСКИЙКРАЙ|КРАСНОЯРСКИЙКРАЙ)+$
Эвенский язык	Якутия, Магаданская область	N	r:^(ЯКУТИЯ|МАГАДАНСКАЯОБЛАСТЬ)+$
Нанайский язык	Хабаровский край	N	r:^(ХАБАРОВСКИЙКРАЙ)+$
Негидальский язык	Хабаровский край	N	r:^(ХАБАРОВСКИЙКРАЙ)+$
Удэгейский язык	Приморский край, Хабаровский край	N	r:^(ПРИМОРСКИЙКРАЙ|ХАБАРОВСКИЙКРАЙ)+$
Маньчжурский и сибинский языки	север Китая	N	r:^(СЕВЕРКИТАЯ)+$
Японский язык	Япония, Республика Палау	N	r:^(ЯПОНИЯ|(РЕСПУБЛИКА)?ПАЛАУ)+$
Корейский язык	Северная Корея, Южная Корея 	N	r:^(СЕВЕРНАЯКОРЕЯ|КНДР|ЮЖНАЯКОРЕЯ|(РЕСПУБЛИКА)?КОРЕЯ)+$
Кетский язык	юго-запад Красноярского края	N	r:^(((ЮГО)?ЗАПАД|ЮГ)КРАСНОЯРСКОГОКРАЯ)+$
Тундренный юкагирский (северноюкагирский) язык	северо-восток Якутии	N	r:^(((СЕВЕРО)?ВОСТОК|СЕВЕР)ЯКУТИИ)+$
Колымский юкагирский (южноюкагирский) язык	северо-восток Якутии	N	r:^(((СЕВЕРО)?ВОСТОК|СЕВЕР)ЯКУТИИ)+$
Чукотский язык	Чукотка 	N	r:^(ЧУКОТКА|ЧУКОТСКИЙАВТОНОМНЫЙОКРУГ|ЧАО)+$
Корякский язык	Камчатский край 	N	r:^(КАМЧАТСКИЙКРАЙ|КАМЧАТКА)+$
Алюторский язык	Камчатский край 	N	r:^(КАМЧАТСКИЙКРАЙ|КАМЧАТКА)+$
Ительменский язык	Камчатский край 	N	r:^(КАМЧАТСКИЙКРАЙ|КАМЧАТКА)+$
Эскимосская ветвь	Чукотка, Аляска (северо-запад США), Канада, Гренландия	N	r:^(ЧУКОТКА|ЧУКОТСКИЙАВТОНОМНЫЙОКРУГ|ЧАО|АЛЯСКА|((СЕВЕРО)?ЗАПАД|СЕВЕР)США|КАНАДА|СЕВЕРКАНАДЫ|ГРЕНЛАНДИЯ)+$
Алеутская ветвь	Алеутские острова, Аляска (северо-запад США)	N	r:^(АЛЕУТ(СКИЕ(ОСТРОВ)?А|Ы)|АЛЯСКА|((СЕВЕРО)?ЗАПАД|СЕВЕР)США)+$
Кабардинский язык	Кабардино-Балкария	N	r:^(КАБАРДИНОБАЛКАРИЯ)+$
Адыгейский язык	Адыгея, Краснодарский край	N	r:^(АДЫГЕЯ|КРАСНОДАРСКИЙКРАЙ)+$
Абхазский язык	Абхазия	N	r:^(АБХАЗИЯ)+$
Абазинский язык	Карачаево-Черкесия	N	r:^(КАРАЧАЕВОЧЕРКЕСИЯ)+$
Грузинский язык	Грузия	N	r:^(ГРУЗИЯ)+$
Сванский язык	северо-запад Грузии	N	r:^(((СЕВЕРО)?ЗАПАД|СЕВЕР)ГРУЗИИ)+$
Лазский язык	север Турции	N	r:^(СЕВЕРТУРЦИИ)+$
Мегрельский язык	северо-запад Грузии, Абхазия	N	r:^(((СЕВЕРО)?ЗАПАД|СЕВЕР)ГРУЗИИ|АБХАЗИЯ)+$
Китайские языки	Китай	N	r:^(КИТАЙ)+$
Брагуи (брауи)	Пакистан 	N	r:^(ПАКИСТАН|ЗАПАДПАКИСТАНА)+$
Телугу	юго-восток Индии	N	r:^(((ЮГО)?ВОСТОК|ЮГ)ИНДИИ)+$
Тамильский язык	юг Индии, Шри-Ланка	N	r:^(ЮГИНДИИ|ШРИЛАНКА)+$
Каннада	юго-запад Индии	N	r:^(((ЮГО)?ЗАПАД|ЮГ)ИНДИИ)+$
Малаялам	юго-запад Индии	N	r:^(((ЮГО)?ЗАПАД|ЮГ)ИНДИИ)+$
Кушитская семья	Сомали, Эфиопия, Эритрея, Джибути, Кения	N	r:^(СОМАЛИ|ЭФИОПИЯ|ЭРИТРЕЯ|ДЖИБУТИ|КЕНИЯ)+$
Берберо-канарская семья	Алжир, Марокко, Мали, Нигер, Ливия, Туниз	N	r:^(АЛЖИР|МАРОК+О|МАЛИ|НИГЕР|ЛИВИЯ|ТУНИЗ)+$
Чадская семья	Нигерия, Нигер, Чад	N	r:^(НИГЕРИЯ|НИГЕР|ЧАД)+$
Омотская семья	Эфиопия, Судан	N	r:^(ЭФИОПИЯ|СУДАН)+$
Египетская семья	Египет	N	r:^(ЕГИПЕТ)+$
Иврит	Израиль	N	r:^(ИЗРАИЛЬ)+$
Арабский язык	Саудовская Аравия, ОАЭ, Оман, Йемен, Ирак, Иордания и др.	N	r:^(САУДОВСКАЯАРАВИЯ|ОАЭ|ОБЪЕДИН[ЕЁ]Н+ЫЕАРАБСКИЕЭМИРАТЫ|ОМАН|ЙЕМЕН|ИРАК|ИОРДАНИЯ)+$
Амхарский язык	Эфиопия	N	r:^(ЭФИОПИЯ)+$
Тигринья	Эфиопия, Эритрея	N	r:^(ЭФИОПИЯ|ЭРИТРЕЯ)+$
Ассирийский новоарамейский язык	Ирак	N	r:^(ИРАК)+$
